epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3903.54,1.634,1.58887,1.78822,0.64047,0.61375,0.63446,0.27322,1.88671,1.58026,2.17173,0.0011882,0.0011882,0.0011882
43,4031.66,1.69173,1.51377,1.813,0.76354,0.62605,0.72054,0.3205,1.83786,1.4903,2.12283,0.0011684,0.0011684,0.0011684
44,4122.89,1.64936,1.59234,1.77926,0.68251,0.65935,0.68774,0.28903,1.88944,1.53231,2.18313,0.0011486,0.0011486,0.0011486
45,4173.26,1.62035,1.51228,1.75905,0.77532,0.65247,0.73427,0.34258,1.78161,1.42484,2.14231,0.0011288,0.0011288,0.0011288
46,4231.58,1.65235,1.54373,1.80451,0.66108,0.60504,0.63678,0.25809,1.85756,1.67432,2.15883,0.001109,0.001109,0.001109
47,4319.54,1.61234,1.52422,1.76517,0.70676,0.70887,0.74568,0.33688,1.83059,1.47948,2.1544,0.0010892,0.0010892,0.0010892
48,4373.74,1.65089,1.49521,1.77703,0.78991,0.62185,0.73157,0.3417,1.77523,1.50435,2.13199,0.0010694,0.0010694,0.0010694
49,4461.96,1.61556,1.44967,1.76166,0.78075,0.71849,0.74694,0.35434,1.76803,1.3666,2.10187,0.0010496,0.0010496,0.0010496
50,4605.7,1.60841,1.46373,1.7475,0.78633,0.64944,0.76627,0.34145,1.78522,1.4037,2.11172,0.0010298,0.0010298,0.0010298
51,4730.59,1.57338,1.42455,1.72569,0.80066,0.69193,0.75904,0.34246,1.80337,1.40908,2.12844,0.00101,0.00101,0.00101
52,4891.76,1.62035,1.46035,1.76919,0.74295,0.63149,0.70948,0.31308,1.77783,1.46604,2.14231,0.0009902,0.0009902,0.0009902
53,5059.93,1.59781,1.44567,1.75368,0.77812,0.61886,0.73773,0.32716,1.82968,1.41325,2.16619,0.0009704,0.0009704,0.0009704
54,5162.85,1.59635,1.43099,1.75009,0.77724,0.69328,0.74676,0.34681,1.81191,1.34069,2.11061,0.0009506,0.0009506,0.0009506
55,5210.43,1.59227,1.39388,1.73763,0.8145,0.66415,0.76391,0.3385,1.81419,1.37246,2.09942,0.0009308,0.0009308,0.0009308
56,5331.59,1.57452,1.38073,1.72618,0.77562,0.63907,0.7511,0.34502,1.72732,1.42249,2.06411,0.000911,0.000911,0.000911
57,5453.69,1.57229,1.39492,1.71995,0.76503,0.65546,0.74452,0.34267,1.80043,1.37777,2.15674,0.0008912,0.0008912,0.0008912
58,5595.6,1.56414,1.41396,1.72586,0.74789,0.64815,0.74697,0.34198,1.78659,1.34985,2.12356,0.0008714,0.0008714,0.0008714
59,5731.1,1.5587,1.37896,1.71975,0.70128,0.68067,0.75102,0.35933,1.77532,1.32003,2.11169,0.0008516,0.0008516,0.0008516
60,5903.92,1.53551,1.34445,1.69952,0.71998,0.65546,0.72883,0.32969,1.88126,1.42025,2.18564,0.0008318,0.0008318,0.0008318
61,6076.91,1.51669,1.33736,1.71204,0.76959,0.67362,0.76509,0.35519,1.78636,1.36834,2.14129,0.000812,0.000812,0.000812
62,6146.38,1.55825,1.35769,1.70641,0.77225,0.68908,0.77343,0.34515,1.89938,1.32349,2.17616,0.0007922,0.0007922,0.0007922
63,6239.38,1.51083,1.36475,1.6859,0.72059,0.68487,0.7421,0.33472,1.81551,1.3373,2.12188,0.0007724,0.0007724,0.0007724
64,6341.7,1.54674,1.34577,1.70602,0.70991,0.70168,0.73591,0.34083,1.84295,1.33392,2.16796,0.0007526,0.0007526,0.0007526
65,6492,1.53619,1.35985,1.72275,0.74629,0.67227,0.73468,0.32781,1.82449,1.44265,2.12081,0.0007328,0.0007328,0.0007328
66,6640.4,1.49896,1.28975,1.64974,0.74743,0.72118,0.76289,0.35135,1.82656,1.29843,2.17307,0.000713,0.000713,0.000713
67,6830.9,1.49075,1.23357,1.66441,0.8188,0.66454,0.77693,0.3648,1.78361,1.28578,2.11732,0.0006932,0.0006932,0.0006932
68,7002.84,1.51332,1.2944,1.69622,0.78499,0.65964,0.73573,0.31265,1.86287,1.43201,2.17331,0.0006734,0.0006734,0.0006734
69,7136.97,1.46074,1.2345,1.65858,0.76602,0.75656,0.80699,0.37563,1.79368,1.26237,2.09304,0.0006536,0.0006536,0.0006536
70,7253.84,1.47046,1.26149,1.65314,0.79563,0.63793,0.76448,0.35179,1.81907,1.26401,2.16555,0.0006338,0.0006338,0.0006338
71,7416.12,1.47761,1.26703,1.66551,0.81438,0.62677,0.76809,0.35324,1.78857,1.30449,2.11016,0.000614,0.000614,0.000614
72,7518.43,1.45364,1.23975,1.62686,0.83517,0.66807,0.79974,0.36012,1.83523,1.29008,2.15771,0.0005942,0.0005942,0.0005942
73,7624.22,1.45817,1.19922,1.67447,0.71098,0.72689,0.76245,0.34488,1.83207,1.35776,2.17792,0.0005744,0.0005744,0.0005744
74,7703.75,1.45295,1.21563,1.62603,0.77776,0.70588,0.78385,0.35493,1.83531,1.3035,2.17518,0.0005546,0.0005546,0.0005546
